QuestionID,Question,Answer,Document
Q361,what cards do you need in poker to get a royal flush,"These hand rankings are also used in some other card games , and in poker dice .",List of poker hands
Q362,what does xylem transport,"Its basic function is to transport water, but it also transports some nutrients through the plant.",Xylem
Q363,how many mvps has kobe bryant won,"He has won the All-Star MVP Award four times ( 2002 , 2007 , 2009 , and 2011 ), tying him for the most All Star MVP Awards in NBA history.",Kobe Bryant
Q364,what do jehovah witnesses believe,"Jehovah's Witnesses' beliefs are based on their interpretations of the Bible and they prefer to use their own translation, the New World Translation of the Holy Scriptures .",Jehovah's Witnesses
Q365,what do jehovah witnesses believe,"They believe that the destruction of the present world system at Armageddon is imminent, and that the establishment of God's kingdom on earth is the only solution for all problems faced by mankind.",Jehovah's Witnesses
Q366,how old old is xp operating system,"Windows XP was released worldwide for retail sale on October 25, 2001, and over 400 million copies were in use in January 2006.",Windows XP
Q367,how many pawns in chess,"In chess, each player begins the game with eight pawns, one on each square of the rank immediately in front of the other pieces.",Pawn (chess)
Q368,what countries allow gays to openly serve in the military,"Nations that permit gay people to serve openly in the military include the 4 of the 5 members of the UN Security Council (United States, United Kingdom, France, and Russia), the Republic of China (Taiwan), Australia , Israel , South Africa , Argentina , and all NATO members excluding Turkey .",Sexual orientation and military service
Q369,How Works Diaphragm Pump,"A diaphragm pump (also known as a Membrane pump, Air Operated Double Diaphragm Pump (AODD) or Pneumatic Diaphragm Pump) is a positive displacement pump that uses a combination of the reciprocating action of a rubber , thermoplastic or teflon diaphragm and suitable valves either side of the diaphragm ( check valve , butterfly valves, flap valves, or any other form of shut-off valves) to pump a fluid .",Diaphragm pump
Q370,how is hydrogen produced,Currently the dominant technology for direct production is steam reforming from hydrocarbons .,Hydrogen production
Q371,how many percent is a basis point,1 basis point = 1 permyriad = one one-hundredth percent,Basis point
Q372,how many percent is a basis point,1 bp = 1 = 0.01% = 0.1‰ = 10−4 = = 0.0001,Basis point
Q373,how many percent is a basis point,"The relationship between percentage changes and basis points can be summarized as follows: 1 percentage point change = 100 basis points, and 0.01 percentage points = 1 basis point.",Basis point
Q374,what genre is bloody beetroots,"The Bloody Beetroots is the pseudonym of Sir Bob Cornelius Rifo, the Italian electro house and dance-punk music producer , DJ and photographer .",The Bloody Beetroots
Q375,what country is madrid spain in,"Madrid (, ) is the capital and largest city of Spain .",Madrid
Q376,What causes rogue waves,"Rogue waves seem not to have a single distinct cause, but occur where physical factors such as high winds and strong currents cause waves to merge to create a single exceptionally large wave.",Rogue wave
Q377,what happened to montgomery clift,"Later, after a disfiguring car crash in 1956, and alcohol and prescription drug abuse, he became erratic.",Montgomery Clift
Q378,how many asian indians live in usa,"Indian Americans are citizens of the United States of Indian ancestry and comprise about 3.18 million people, or ~1.0% of the U.S. population, the country's third largest self-reported Asian ancestral group after Chinese Americans and Filipino Americans according to American Community Survey of 2010 data.",Indian American
Q379,what caused the world war 2,"The main causes of World War II were nationalistic issues, unresolved issues, and resentments resulting from World War I and the interwar period in Europe, in addition to the effects of the Great Depression in the 1930s.",Causes of World War II
Q380,what caused the world war 2,The culmination of events that led to the outbreak of war are generally understood to be the 1939 invasion of Poland by Germany and Soviet Russia and the 1937 invasion of the Republic of China by the Empire of Japan .,Causes of World War II
Q381,what happened to george o'malley on grey's anatomy?,"In 2007, Knight's co-star Isaiah Washington ( Preston Burke ) insulted him with a homophobic slur, which resulted in the termination of Washington's Grey's Anatomy contract.",George O'Malley
Q382,what happened to george o'malley on grey's anatomy?,"In 2009, after the conclusion of the fifth season , it was confirmed that Knight would not be returning for the show's sixth season .",George O'Malley
Q383,what happened to george o'malley on grey's anatomy?,"The actor stated the reason for his departure was due to a ""breakdown in communication"" with Rhimes, his character's lack of screen time, as well as his decision to be openly gay .",George O'Malley
Q384,what happened to george o'malley on grey's anatomy?,"Despite this, his death received mixed feedback.",George O'Malley
Q385,how many people die from myasthenia gravis per year,The disease incidence is 3–30 cases per million per year and rising as a result of increased awareness.,Myasthenia Gravis
Q386,how many rooms in borgata hotel,"The $1.1 billion casino hotel features 2,002 rooms and is the largest hotel in New Jersey .",The Borgata
Q387,what country has the most muslims in the world,"The largest Muslim country is Indonesia , home to 12.7% of the world's Muslims, followed by Pakistan (11.0%), India (10.9%), and Bangladesh (9.2%).",Islam by country
Q388,what country is dubai in,"Dubai ( ; ', ) is a city in the United Arab Emirates , located within the emirate of the same name.",Dubai
Q389,how much of earth is covered ocean water,"Approximately 72% of the planet's surface (~3.6x108 km2) is covered by saline water that is customarily divided into several principal oceans and smaller seas, with the ocean covering approximately 71% of the Earth's surface.",Ocean
Q390,how is root beer made?,"Root beer is a carbonated , sweetened beverage , originally made using the root of a sassafras plant (or the bark of a sassafras tree) as the primary flavor.",Root beer
Q391,how much did yankee stadium cost,"Also controversial was the price tag of $1.5 billion, which makes it not only the most expensive baseball stadium ever built, but the second-most expensive stadium of any kind (after MetLife Stadium in East Rutherford, New Jersey ).",Yankee Stadium
Q392,what does informal logic mean,"Informal logic, intuitively, refers to the principles of logic and logical thought outside of a formal setting.",Informal logic
Q393,what country is turkey in,"Turkey (), officially the Republic of Turkey , is a transcontinental country , located mostly on Anatolia in Western Asia and on East Thrace in Southeastern Europe .",Turkey
Q394,what country is turkey in,"Turkey is bordered by eight countries: Bulgaria to the northwest; Greece to the west; Georgia to the northeast; Armenia , Iran and the Azerbaijani exclave of Nakhchivan to the east; and Iraq and Syria to the southeast.",Turkey
Q395,"what county is Augusta,GA located in?","Augusta is the principal city of the Augusta – Richmond County Metropolitan Statistical Area , which as of 2010 had an estimated population of 556,877, making it both the second-largest city and the second-largest metro area in the state after Atlanta .","Augusta, Georgia"
Q396,"What happened to ""The Glades"" tv series",The show has been renewed for a fourth season.,The Glades (TV series)
Q397,how many albums has eminem sold in his career,"He has sold more than 100 million records worldwide, including 42 million tracks and 49.1 million albums in the United States.",Eminem
Q398,what do pigs eat,Pigs are omnivores and are highly social and intelligent animals.,Pig
Q399,what does a cutter do,"In baseball , a cutter, or cut fastball, is a type of fastball which breaks slightly toward the pitcher 's glove side as it reaches home plate .",Cutter (baseball)
Q400,what it takes aerosmith album,"""What It Takes"" is a power ballad by American hard rock band Aerosmith .",What It Takes (song)
Q401,what it takes aerosmith album,It was released in 1990 as the third single from Aerosmith's critically and commercially successful 1989 album Pump .,What It Takes (song)
Q402,what county is erie colorado,Erie is a Statutory Town in Boulder and Weld counties in the U.S. state of Colorado .,"Erie, Colorado"
Q403,What happened during the Starving Time in Jamestown?,Lack of access to water and a relatively dry rain season crippled the agricultural production of the colonists.,Starving Time
Q404,What happened during the Starving Time in Jamestown?,"A fleet from England, damaged by a hurricane, arrived months behind schedule with new colonists, but without expected food supplies.",Starving Time
Q405,What happened during the Starving Time in Jamestown?,There is scientific evidence that the settlers at Jamestown had turned to cannibalism during the starving time.,Starving Time
Q406,what classes are considered humanities,"The humanities are academic disciplines that study human culture, using methods that are primarily analytical , critical , or speculative , and having a significant historical element, as distinguished from the mainly empirical approaches of the natural sciences .",Humanities
Q407,what classes are considered humanities,"The humanities include ancient and modern languages , literature , philosophy , religion , and visual and performing arts such as music and theatre .",Humanities
Q408,what classes are considered humanities,"The humanities that are also regarded as social sciences include history , anthropology , area studies , communication studies , cultural studies , law , economics and linguistics .",Humanities
Q409,what classes are considered humanities,"Human disciplines like history , cultural anthropology and psychoanalysis study subject matters to which the experimental method does not apply, and they have access instead to the comparative method and comparative research .",Humanities
Q410,what does the president of the usa do,The President of the United States of America (POTUS) is the head of state and head of government of the United States .,President of the United States
Q411,what does the president of the usa do,The president leads the executive branch of the federal government and is the commander-in-chief of the United States Armed Forces .,President of the United States
Q412,what does the president of the usa do,"The president is further empowered to grant federal pardons and reprieves , and to convene and adjourn either or both houses of Congress under extraordinary circumstances.",President of the United States
Q413,what food is in afghan,"Afghan cuisine is largely based upon the nation's chief crops; cereals like wheat , maize , barley and rice .",Afghan cuisine
Q414,what food is in afghan,"Accompanying these staples are dairy products ( yogurt and whey ), various nuts , and native vegetables, as well as fresh and dried fruits; Afghanistan is well known for its grapes .",Afghan cuisine
Q415,how kimberlite pipes form,Volcanic pipes are relatively rare.,Volcanic pipe
Q416,how many seasons of grey's anatomy are there,"On May 11, 2012, the series was renewed for a ninth season, which premiered on September 27, 2012.",Grey's Anatomy
Q417,how is schizophrenia diagnosed?,Diagnosis is based on observed behavior and the patient's reported experiences.,Schizophrenia
Q418,what kind of cut is tri tip,The tri-tip is a cut of beef from the bottom sirloin primal cut .,Tri-tip
Q419,what kind of cut is tri tip,"It is a small triangular muscle , usually 1.5 to 2.5 lbs. (675 to 1,150g) per side of beef.",Tri-tip
Q420,what county is willmar mn in?,"Willmar is a city in, and the county seat of, Kandiyohi County , Minnesota , United States .","Willmar, Minnesota"
Q421,what kind of company is Microsoft?,"Microsoft Corporation is an American multinational software corporation headquartered in Redmond , Washington that develops, manufactures, licenses, and supports a wide range of products and services related to computing .",Microsoft
Q422,how does weather happen,Weather is driven by air pressure (temperature and moisture) differences between one place and another.,Weather
Q423,how many countries have english as an official language,"In 2012, there were 88 states in total (60 sovereign states and 28 non-sovereign states).",List of countries where English is an official language
Q424,what countries are in cono sur,"Although geographically this includes Southern and part of Southeast ( São Paulo ) of Brazil , in terms of political geography the Southern cone has traditionally comprised Argentina , Chile , Paraguay , and Uruguay .",Southern Cone
Q425,what countries are in cono sur,"In the narrowest sense, it only covers Argentina , Chile and Uruguay , bounded on the north by the states of Brazil, Paraguay, Bolivia and Peru, on the west by the Pacific Ocean, and south to the junction between the Pacific and Atlantic Oceans, which it is the closest continental area of Antarctica (1000 km).",Southern Cone
Q426,how many innings makes an official game,"Since most professional baseball games are nine innings long, the fifth inning is used as the threshold for an official game.",Official game
Q427,what branch of the military is delta force,It was formerly listed as the Combat Applications Group by the Department of Defense but has since been officially re-designated the Army Compartmented Elements (ACE).,Delta Force
Q428,what causes the seasons,Seasons result from the yearly revolution of the Earth around the Sun and the tilt of the Earth's axis relative to the plane of revolution.,Season
Q429,what does 3g network mean,"3G, short for third Generation, is the third generation of mobile telecommunications technology.",3G
Q430,what does Mazel tov! mean,"""good luck"") is a phrase used to express congratulations for a happy and significant occasion or event.",Mazel tov
Q431,How Do You Get Hepatitis C,"HCV is spread primarily by blood-to-blood contact associated with intravenous drug use , poorly sterilized medical equipment and transfusions .",Hepatitis C
Q432,how does flexible spending account work,"An FSA allows an employee to set aside a portion of earnings to pay for qualified expenses as established in the cafeteria plan, most commonly for medical expenses but often for dependent care or other expenses.",Flexible spending account
Q433,how tennessee became a state,"Tennessee was the last state to leave the Union and join the Confederacy at the outbreak of the U.S. Civil War in 1861, and the first state to be readmitted to the Union at the end of the war.",Tennessee
Q434,how many baseball teams usa,It is composed of 30 teams — 29 in the United States and one in Canada.,Major league baseball
Q435,what county is coatesville indiana located in,"Coatesville is a town in Clay Township , Hendricks County , Indiana , United States .","Coatesville, Indiana"
Q436,how does Delaware support its claim to being the first state?,"Delaware was one of the 13 colonies participating in the American Revolution and on December 7, 1787, became the first state to ratify the Constitution of the United States , thereby becoming known as The First State.",Delaware
Q437,how many amendments in the US constitution,"Twenty-seven amendments have been ratified since the original signing of the Constitution, the first ten of which are known collectively as the Bill of Rights .",List of amendments to the United States Constitution
Q438,what does fidelity do,"Fidelity Investments manages a large family of mutual funds , provides fund distribution and investment advice services, as well as providing discount brokerage services , retirement services, wealth management , securities execution and clearance, life insurance and a number of other services.",Fidelity Investments
Q439,what causes thunder sound,Thunder is the sound caused by lightning .,Thunder
Q440,what causes thunder sound,"In turn, this expansion of air creates a sonic shock wave, similar to a sonic boom , which produces the sound of thunder, often referred to as a clap, crack, or peal of thunder.",Thunder
Q441,what day is the federal holiday for Martin Luther King Jr.,"It is observed on the third Monday of January each year, which is around the time of King's birthday, January 15.","Martin Luther King, Jr. Day"
Q442,what area code is 949,Area code 949 is an area code in California that is contained mostly within South Orange County .,Area code 949
Q443,what does continuous improvement mean,"A continual improvement process, also often called a continuous improvement process (abbreviated as CIP or CI), is an ongoing effort to improve products, services, or processes.",Continual improvement process
Q444,what area code is 810,Area code 810 is the telephone area code serving eastern Michigan .,Area code 810
Q445,how many babies are in a typical raccoon litter,"After a gestation period of about 65 days, two to five young, known as ""kits"", are born in spring.",Raccoon
Q446,what kind of earthquake was haiti,"The 2010 Haiti earthquake was a catastrophic magnitude 7.0 Mw earthquake , with an epicenter near the town of Léogâne ( Ouest Department ), approximately west of Port-au-Prince , Haiti's capital.",2010 Haiti earthquake
Q447,what kind of horse was mr ed,"The stars of the show were Mister Ed, a palomino horse who could ""talk"", played by gelding Bamboo Harvester and voiced by former Western star Allan Lane (who went uncredited for the entire length of the series), and his owner, an eccentric and enormously klutzy , yet friendly, architect named Wilbur Post ( Alan Young ).",Mister Ed
Q448,What does Rapture meaning in a theological sense?,"The Rapture is a term in Christian eschatology which refers to the ""being caught up"" discussed in 1 Thessalonians 4:17, when the ""dead in Christ"" and ""we who are alive and remain"" will be ""caught up in the clouds"" to meet ""the Lord in the air"".",Rapture
Q449,who does chris humphries play for,"Kris Nathan Humphries (born February 6, 1985) is an American professional basketball player with the Brooklyn Nets .",Kris Humphries
Q450,what are corporation balance,"A balance sheet is often described as a ""snapshot of a company's financial condition"".",Balance sheet
Q451,what is .17 hmr caliber,".17 Hornady Magnum Rimfire, commonly known as the .17 HMR, is a rimfire rifle cartridge developed by the ammunition company Hornady in 2002.",.17 HMR
Q452,what made the civil war different from others,"It remains the deadliest war in American history , resulting in the deaths of an estimated 750,000 soldiers and an undetermined number of civilian casualties.",American Civil War
Q453,where to buy potato bread made without wheat,"It is available as a commercial product in many countries, with similar variations in ingredients, cooking method, and other variables.",Potato bread
Q454,what year was the 8 track invented,"Stereo 8 was created in 1964 by a consortium led by Bill Lear of Lear Jet Corporation, along with Ampex , Ford Motor Company , General Motors , Motorola , and RCA Victor Records (RCA).",8-track tape
Q455,what are points on a mortgage,"Points, sometimes also called a ""discount point"", are a form of pre-paid interest .",Point (mortgage)
Q456,who killed julius caesar,"But the underlying political conflicts had not been resolved, and on the Ides of March (15 March) 44 BC, Caesar was assassinated by a group of senators led by Marcus Junius Brutus .",Julius caesar
Q457,what are  the  official languages of nigeria,"The official language of Nigeria, English , the former colonial language, was chosen to facilitate the cultural and linguistic unity of the country.",Languages of Nigeria
Q458,"who played guitar on the kiss album, creatures of the night","It is also the band's last album recorded with Ace Frehley credited as an official member (until 1998's Psycho Circus ), and its first album with Vinnie Vincent as the initially uncredited lead guitarist (Vincent would later be credited, but not featured pictorially on the cover, of 1985's reissue of the album ).",Creatures of the Night
Q459,who wrote white christmas,"""White Christmas"" is an Irving Berlin song reminiscing about an old-fashioned Christmas setting .",White Christmas (song)
Q460,what are the different types of cross country skiing,"Cross-country skiing is part of the Nordic skiing sport family, which includes ski jumping , Nordic combined (cross-country skiing and ski jumping), Biathlon (skiing and rifle marksmanship ) and ski-orienteering (which includes map navigation along snow trails and tracks).",Cross-country skiing
Q461,what are use taxes?,"A use tax in United States is complementary to sales tax which means, if you buy a Taxable product/services without paying any Sales tax to vendor, you owe use tax.",Use tax
Q462,what are use taxes?,"Use tax is also termed as ""Consumption Tax"" or ""Consumer Use Tax"".",Use tax
Q463,what are use taxes?,A use tax is a type of excise tax levied in the United States by numerous state governments.,Use tax
Q464,WHAT IS A FY QUARTER,"A fiscal year (or financial year, or sometimes budget year) is a period used for calculating annual (""yearly"") financial statements in businesses and other organizations.",Fiscal year
Q465,who pulmonary hypertension,It was first identified by Dr. Ernst von Romberg in 1891.,Pulmonary hypertension
Q466,what is an array in programming,"In computer science , array programming languages (also known as vector or multidimensional languages) generalize operations on scalars to apply transparently to vectors , matrices , and higher dimensional arrays.",Array programming
Q467,what is an array in programming,Array programming primitives concisely express broad ideas about data manipulation.,Array programming
Q468,who wrote a rose is a rose is a rose,"The sentence ""Rose is a rose is a rose is a rose."" was written by Gertrude Stein as part of the 1913 poem Sacred Emily, which appeared in the 1922 book Geography and Plays.",Rose is a rose is a rose is a rose
Q469,what is a notary for,"A notary public (or notary or public notary) in the common law world is a public officer constituted by law to serve the public in non-contentious matters usually concerned with estates, deeds, powers-of-attorney, and foreign and international business.",Notary public
Q470,what is a notary for,"A notary's main functions are to administer oaths and affirmations, take affidavits and statutory declarations , witness and authenticate the execution of certain classes of documents, take acknowledgments of deeds and other conveyances, protest notes and bills of exchange, provide notice of foreign drafts, prepare marine or ship's protests in cases of damage, provide exemplifications and notarial copies, and perform certain other official acts depending on the jurisdiction .",Notary public
Q471,when did the cold war start,"The Cold War, often dated from 1947 to 1991, was a sustained state of political and military tension between powers in the Western Bloc , dominated by the United States with NATO among its allies, and powers in the Eastern Bloc , dominated by the Soviet Union along with the Warsaw Pact .",Cold War
Q472,what state is pike's peak in?,"Pikes Peak State Park is a state park of Iowa , USA, featuring a bluff overlooking the Upper Mississippi River opposite the confluence of the Wisconsin River .",Pikes Peak State Park
Q473,what state is jakarta in?,"Jakarta (), officially known as the Special Capital Region of Jakarta (), is the capital and largest city of Indonesia .",Jakarta
Q474,what song is sung in 6 foot 7 foot,"""6 Foot 7 Foot"" (also styled as ""6'7"") is a song by American rapper Lil Wayne featuring label mate, Cory Gunz .",6 Foot 7 Foot
Q475,what is a book index,An index (plural: indexes) is a list of words or phrases ('headings') and associated pointers ('locators') to where useful material relating to that heading can be found in a document.,Index (publishing)
Q476,who sings the song never ending story,The English version was performed by Limahl and Beth Anderson ; the French version was performed by Limahl and Ann Calvert.,The NeverEnding Story (song)
Q477,who can file suspicious activity report,"In United States financial regulation , a suspicious activity report (or SAR) is a report made by a financial institution to the Financial Crimes Enforcement Network (FinCEN), an agency of the United States Department of the Treasury , regarding suspicious or potentially suspicious activity.",Suspicious activity report
Q478,who created facebook,"It was founded in February 2004 by Mark Zuckerberg with his college roommates and fellow Harvard University students Eduardo Saverin , Andrew McCollum , Dustin Moskovitz and Chris Hughes .",Facebook
Q479,what are the sulfas,The original antibacterial sulfonamides (sometimes called sulfa drugs or sulpha drugs) are synthetic antimicrobial agents that contain the sulfonamide group.,Sulfonamide (medicine)
Q480,what are risk for infections,"Risk of infection is a nursing diagnosis which is defined as ""the state in which an individual is at risk to be invaded by an opportunistic or pathogenic agent ( virus , fungus , bacteria , protozoa , or other parasite ) from endogenous or exogenous sources"" and was approved by NANDA in 1986.",Risk of infection
Q481,who owns joe's crab shack,Joe's Crab Shack is an American chain of beach-themed seafood casual dining restaurants owned by Ignite Restaurant Group .,Joe's Crab Shack
Q482,where do cruises dock in new york city,New York City Cruise Liner Terminal in Hell's Kitchen at 52nd Street .,New York Passenger Ship Terminal
Q483,what is a right wing christian,Christian right is a term used in the United States to describe right-wing Christian political groups that are characterized by their strong support of socially conservative policies.,Christian right
Q484,who played the lead roles in the movie leaving las vegas,Nicolas Cage stars as a suicidal alcoholic who has ended his personal and professional life to drink himself to death in Las Vegas .,Leaving Las Vegas
Q485,what is a CMM machine,A coordinate measuring machine is a device for measuring the physical geometrical characteristics of an object.,Coordinate-measuring machine
Q486,what percentage of water in in the body,"Arthur Guyton 's Textbook of Medical Physiology states that ""the total amount of water in a man of average weight (70 kilograms) is approximately 40 litres, averaging 57 percent of his total body weight.",Body water
Q487,what percentage of water in in the body,"In a newborn infant, this may be as high as 75 percent of the body weight, but it progressively decreases from birth to old age, most of the decrease occurring during the first 10 years of life.",Body water
Q488,what type of batteries are 357 (LR44),"LR44 is the IEC designation for an alkaline 1.5 volt button cell , commonly used in small LED flashlights , digital thermometers , calculators , calipers , watches , clocks , toys and laser pointers .",LR44 battery
Q489,where did hurricane katrina begin,Hurricane Katrina was the deadliest and most destructive Atlantic hurricane of the 2005 Atlantic hurricane season .,Hurricane Katrina
Q490,where did hurricane katrina begin,"Hurricane Katrina formed over the Bahamas on August 23, 2005 and crossed southern Florida as a moderate Category 1 hurricane , causing some deaths and flooding there before strengthening rapidly in the Gulf of Mexico .",Hurricane Katrina
Q491,what is an assist in basketball,"In basketball , an assist is attributed to a player who passes the ball to a teammate in a way that leads to a score by field goal , meaning that he or she was ""assisting"" in the basket.",Assist (basketball)
Q492,what is 1 mil guaranies in united states dollars,"The mill or mille () (sometimes mil in the UK , when discussing property taxes in the United States , or previously in Cyprus and Malta ) is a now-abstract unit of currency used sometimes in accounting .",Mill (currency)
Q493,where did the persian war take place,The Greco-Persian Wars (also often called the Persian Wars) were a series of conflicts between the Achaemenid Empire of Persia and city-states of the Hellenic world that started in 499 BC and lasted until 449 BC.,Greco-Persian Wars
Q494,where did the persian war take place,"In 494 BC, the Persians regrouped, and attacked the epicentre of the revolt in Miletus.",Greco-Persian Wars
Q495,where did the persian war take place,"At the Battle of Lade , the Ionians suffered a decisive defeat, and the rebellion collapsed, with the final members being stamped out the following year.",Greco-Persian Wars
Q496,where did the persian war take place,"Seeking to secure his empire from further revolts and from the interference of the mainland Greeks, Darius embarked on a scheme to conquer Greece and to punish Athens and Eretria for burning Sardis.",Greco-Persian Wars
Q497,where did the persian war take place,"The actions of the general Pausanias at the siege of Byzantium alienated many of the Greek states from the Spartans, and the anti-Persian alliance was therefore reconstituted around Athenian leadership, as the so-called Delian League .",Greco-Persian Wars
Q498,where did the persian war take place,"At the Battle of the Eurymedon in 466 BC, the League won a double victory that finally secured freedom for the cities of Ionia.",Greco-Persian Wars
Q499,where did the persian war take place,"A fleet was sent to Cyprus in 451 BC, but achieved little, and when it withdrew the Greco-Persian Wars drew to a quiet end.",Greco-Persian Wars
